Post ID,Label Weight
p1730,0.0
p4010,0.0
p4472,0.0
p740,0.0
p5327,0.0
p1172,0.0
p5792,0.0
p4799,0.0
p5363,0.0
p2852,0.0
p4373,0.0
p308,0.0
p773,0.0
p1334,0.0
p2360,0.0
p3053,0.0
p6056,0.0
p6092,0.0
p14,0.0
p2492,0.0
p542,0.0
p6221,0.0
p1565,0.0
p3512,0.0
p1466,0.0
p1301,0.0
p182,0.0
p4106,0.0
p575,0.0
p5129,0.0
p539,0.0
p5132,0.0
p1529,0.0
p1202,0.0
p6647,0.0
p1433,0.0
p935,0.0
p2423,0.0
p1895,0.0
p6485,0.0
p1532,0.0
p6290,0.0
p1370,0.0
p2027,0.0
p4928,0.0
p5822,0.0
p5756,0.0
p5594,0.0
p6287,0.0
p113,0.0
p3776,0.0
p4436,0.0
p6515,0.0
p3251,0.0
p6713,0.0
p6648,0.0
p543,0.0
p15,0.0
p2619,0.0
p381,0.0
p444,0.0
p6288,0.0
p1371,0.0
p738,0.0
p2985,0.0
p6945,0.0
p378,0.0
p1335,0.0
p1533,0.0
p4374,0.0
p147,0.0
p2754,0.0
p1302,0.0
p2457,0.0
p150,0.0
p1566,0.0
p2163,0.0
p1203,0.0
p642,0.0
p5889,0.0
p972,0.0
p2556,0.0
p1500,0.0
p4833,0.0
p5328,0.0
p6750,0.0
p312,0.0
p3906,0.0
p4242,0.0
p936,0.0
p5364,0.0
p345,0.0
p1368,0.0
p741,0.0
p4536,0.0
p5133,0.0
p3810,0.0
p4110,0.0
p6093,0.0
p2460,0.0
p1005,0.0
p6291,0.0
p969,0.0
p309,0.0
p840,0.0
p6714,0.0
p1269,0.0
p3447,0.0
p4206,0.0
p4473,0.0
p3253,0.0
p2032,0.0
p4966,0.0
p6319,0.0
p1570,0.0
p6124,0.0
p5170,0.0
p2326,0.0
p1369,0.0
p6094,0.0
p148,0.0
p3091,0.0
p346,0.0
p151,0.0
p313,0.0
p775,0.0
p3349,0.0
p1567,0.0
p1729,0.0
p937,0.0
p5824,0.0
p508,0.0
p6058,0.0
p1501,0.0
p3514,0.0
p6553,0.0
p577,0.0
p4243,0.0
p973,0.0
p1435,0.0
p379,0.0
p1372,0.0
p511,0.0
p742,0.0
p1471,0.0
p2494,0.0
p6520,0.0
p4009,0.0
p580,0.0
p5989,0.0
p4375,0.0
p5860,0.0
p16,0.0
p5068,0.0
p739,0.0
p2854,0.0
p382,0.0
p4081,0.0
p4768,0.0
p2920,0.0
p2164,0.0
p6748,0.0
p184,0.0
p1240,0.0
p4207,0.0
p1043,0.0
p17,0.0
p3155,0.0
p4574,0.0
p1667,0.0
p1340,0.0
p314,0.0
p1007,0.0
p347,0.0
p1469,0.0
p1304,0.0
p4307,0.0
p4376,0.0
p4871,0.0
p6914,0.0
p3980,0.0
p1502,0.0
p149,0.0
p185,0.0
p383,0.0
p5069,0.0
p2459,0.0
p350,0.0
p6716,0.0
p1928,0.0
p3515,0.0
p509,0.0
p2000,0.0
p1205,0.0
p413,0.0
p4901,0.0
p5993,0.0
p1568,0.0
p5630,0.0
p743,0.0
p2462,0.0
p5366,0.0
p5861,0.0
p974,0.0
p2657,0.0
p1010,0.0
p1241,0.0
p2165,0.0
p152,0.0
p1337,0.0
p1571,0.0
p581,0.0
p6518,0.0
p6059,0.0
p1373,0.0
p2396,0.0
p5825,0.0
p6749,0.0
p578,0.0
p776,0.0
p2495,0.0
p6752,0.0
p384,0.0
p582,0.0
p4182,0.0
p1473,0.0
p5859,0.0
p5796,0.0
p4902,0.0
p6753,0.0
p1176,0.0
p1110,0.0
p3291,0.0
p1011,0.0
p777,0.0
p18,0.0
p6030,0.0
p6786,0.0
p1572,0.0
p4311,0.0
p252,0.0
p1569,0.0
p5367,0.0
p6324,0.0
p4704,0.0
p1602,0.0
p1206,0.0
p5169,0.0
p6555,0.0
p2001,0.0
p6717,0.0
p1374,0.0
p3945,0.0
p6096,0.0
p1242,0.0
p2166,0.0
p609,0.0
p6519,0.0
p249,0.0
p807,0.0
